
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-04-03 11:36:59 /api/plots/1/plants ................................................................ ~ 514.78ms
  2026-04-03 11:37:00 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:37:00 /api/plots/1/access ...................................................................... ~ 1s
  2026-04-03 11:37:09 /api/plots/1/rotations/recommendations ............................................. ~ 510.01ms
  2026-04-03 11:37:18 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:37:39 /api/plots/1/rotations/recommendations ............................................. ~ 505.93ms
  2026-04-03 11:37:49 /api/plots/1/rotations ............................................................. ~ 502.11ms
  2026-04-03 11:38:02 /api/plots ......................................................................... ~ 501.16ms
  2026-04-03 11:38:02 /api/inventory ....................................................................... ~ 0.09ms
  2026-04-03 11:38:02 /api/plots ......................................................................... ~ 512.67ms
  2026-04-03 11:38:03 /api/inventory ..................................................................... ~ 503.28ms
  2026-04-03 11:38:26 /api/plots ......................................................................... ~ 504.05ms
  2026-04-03 11:38:27 /api/community ..................................................................... ~ 513.61ms
  2026-04-03 11:38:27 /api/plots ............................................................................... ~ 1s
  2026-04-03 11:38:28 /api/community ..................................................................... ~ 502.10ms
  2026-04-03 11:38:32 /api/plots/1/community ............................................................. ~ 508.72ms
  2026-04-03 11:38:34 /api/community ..................................................................... ~ 530.69ms
  2026-04-03 11:38:47 /api/community ..................................................................... ~ 510.43ms
  2026-04-03 11:38:59 /api/plots ......................................................................... ~ 501.04ms
  2026-04-03 11:38:59 /api/inventory ..................................................................... ~ 518.02ms
  2026-04-03 11:38:59 /api/plots ........................................................................... ~ 0.08ms
  2026-04-03 11:39:00 /api/inventory ..................................................................... ~ 505.45ms
  2026-04-03 11:42:29 /api/plots ......................................................................... ~ 513.86ms
  2026-04-03 11:42:30 /api/plots ......................................................................... ~ 506.19ms
  2026-04-03 11:42:33 /api/plots ......................................................................... ~ 513.99ms
  2026-04-03 11:42:34 /api/plots ......................................................................... ~ 511.59ms
  2026-04-03 11:42:34 /api/plots/1 ....................................................................... ~ 511.04ms
  2026-04-03 11:42:34 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:42:35 /api/plots/1/plants ................................................................ ~ 999.37ms
  2026-04-03 11:42:35 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:42:36 /api/plots/1/access ................................................................ ~ 513.80ms
  2026-04-03 11:42:36 /api/plots/1 ....................................................................... ~ 504.68ms
  2026-04-03 11:42:36 /api/plots/1/plant-zones ................................................................. ~ 1s
  2026-04-03 11:42:37 /api/plots/1/plants ...................................................................... ~ 1s
  2026-04-03 11:42:37 /api/plots/1/rotations ................................................................... ~ 1s
  2026-04-03 11:42:38 /api/plots/1/access ................................................................ ~ 507.30ms
  2026-04-03 11:42:49 /api/plots ......................................................................... ~ 516.62ms
